"name","gender","genres_liked","genres_disliked","description","age","job","hobby"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a graphic designer by profession, and in his free time he enjoys editing Wikipedia pages. His favorite genres are action and comedy, as he believes they provide the perfect balance of excitement and entertainment. He dislikes horror movies as they often give him nightmares, and romance movies as he finds them predictable and cliché. John is also interested in history and loves to travel to historical sites in his free time.","47","Graphic Designer","Wikipedia editing"
"Emma Wilson","F","['animation', 'fantasy']","['documentary', 'action']","a schoolchild and in her free time she enjoys drawing and painting. Her favorite genres are animation and fantasy, as she believes they allow her to escape to magical worlds and forget about the real world. She dislikes documentary movies as she finds them boring, and action movies as they often contain too much violence for her taste. Emma also loves reading books and playing with her friends in her free time.","10","schoolchild","Drawing and painting"
"Mark Johnson","M","['romance', 'family']","['horror', 'action']","a therapist by profession, and in his free time he enjoys horseback riding. His favorite genres are romance and family, as he believes they provide the perfect balance of love and emotion. He dislikes horror movies as they often give him nightmares, and action movies as he finds them too violent. Mark is also interested in psychology and loves to read books about it in his free time.","26","Therapist","Horseback riding"
"Angela Smith","F","['documentary', 'comedy']","['horror', 'romance']","an air traffic controller by profession, and in her free time she enjoys playing footbag. Her favorite genres are documentary and comedy, as she believes they provide the perfect balance of education and entertainment. She dislikes horror movies as they often give her nightmares, and romance movies as she finds them predictable and cliché. Angela is also interested in aviation and loves to read books about it in her free time.","50","Air Traffic Controller","Footbag"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a real estate agent, he is passionate about cricket and he also enjoys playing chess, he also likes to read books about history, his favorite food is pasta, he prefers to spend his weekends hiking in the mountains, his favorite color is blue.","42","Real Estate Agent","Cricket"
"Emily Johnson","F","['animation', 'fantasy']","['documentary', 'horror']","a schoolchild, she is passionate about playing video games and she also enjoys painting, she also likes to play the piano, her favorite food is pizza, she prefers to spend her weekends watching movies, her favorite color is pink.","10","schoolchild","Playing video games"
"Mark Taylor","M","['action', 'comedy']","['horror', 'romance']","a retired person, he is passionate about long-distance running and he also enjoys playing golf, he also likes to read books about history, his favorite food is sushi, he prefers to spend his weekends travelling, his favorite color is green.","73","retired","Long-distance running"
"Sarah White","F","['documentary', 'fantasy']","['horror', 'romance']","an apprentice, she is passionate about sports science and she also enjoys playing volleyball, she also likes to dance, her favorite food is pasta, she prefers to spend her weekends hiking in the mountains, her favorite color is red.","21","apprentice","Sports science"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a bus mechanic and he loves hiking and backpacking, he is a nature lover and he has a great sense of humor, John prefers action movies because they get his adrenaline pumping and makes him feel alive, he also enjoys comedy movies because they can make him laugh and forget about his daily problems, John dislikes horror movies because they are too intense and give him nightmares and he doesn't like romance movies because he finds them boring and predictable.","58","Bus Mechanic","Hiking/backpacking"
"Sarah Williams","F","['romance', 'documentary']","['action', 'horror']","a desktop publisher and she loves record collecting, she is a history lover and she has a great sense of fashion, Sarah prefers romance movies because she can immerse herself in a love story and dream about her own love life, she also enjoys documentary movies because they teach her new things about the world and its history, Sarah dislikes action movies because they are too noisy and she doesn't like horror movies because they are too scary and give her nightmares.","42","Desktop Publisher","Record collecting"
"James Johnson","M","['animation', 'fantasy']","['horror', 'romance']","a student and he loves jujitsu, he is a martial arts lover and he has a great sense of humor, James prefers animation movies because they can take him to a magical world and leave his imagination fly, he also enjoys fantasy movies because they can transport him to a different universe, James dislikes horror movies because they are too intense and give him nightmares and he doesn't like romance movies because he finds them boring and predictable.","17","student","Jujitsu"
"Emily Johnson","F","['romance', 'comedy']","['action', 'horror']","a baggage handler and she loves letterboxing, she is a nature lover and she has a great sense of humor, Emily prefers romance movies because she can immerse herself in a love story and dream about her own love life, she also enjoys comedy movies because they can make her laugh and forget about her daily problems, Emily dislikes action movies because they are too intense and give her anxiety and she doesn't like horror movies because they are too scary and give her nightmares.","55","Baggage Handler","Letterboxing"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a dog trainer in NYC. He discovered his passion for dog training when he was a teenager, he always loved being around animals and he found it very rewarding to help dogs and their owners to build a stronger bond. He is a very creative person and he also enjoys doing rock balancing, he find it very relaxing and it helps him to clear his mind. His favorite hobby is watching movies, especially action and comedy movies, he enjoys the adrenaline rush and the laughter that these movies bring to him. He doesn't like horror movies because they are too intense and scary for him, and he is not a fan of romance movies because he finds them too predictable and cliché.","33","Dog Trainer","Rock balancing"
"Emily Taylor","F","['romance', 'family']","['horror', 'action']","a tailor in Paris. She discovered her passion for sewing when she was a little girl, she always loved to create new clothes and to customize old ones. She is a very gentle and kind person, and she enjoys going to the park to pick fruits, she finds it very relaxing and it helps her to connect with nature. Her favorite hobby is watching movies, especially romance and family movies, she enjoys the love stories and the emotions that these movies bring to her. She doesn't like horror movies because they are too scary and intense, and she is not a fan of action movies because she finds them too violent and chaotic.","58","Tailor","Fruit picking"
"Liam Johnson","M","['documentary', 'animation']","['horror', 'action']","a retired teacher. He discovered his passion for teaching when he was a young man, he always loved to share his knowledge and to help students to grow and develop. He is a very curious person and he enjoys listening to shortwave radio, he find it very interesting to listen to the different radio stations from all around the world. His favorite hobby is watching movies, especially documentaries and animation movies, he enjoys learning new things and the creativity that these movies bring to him. He doesn't like horror movies because they are too scary and intense, and he is not a fan of action movies because he finds them too violent and superficial.","70","retired","Shortwave listening"
"Maya Santos","F","['fantasy', 'comedy']","['horror', 'romance']","a student in LA. She discovered her passion for color guard when she was a teenager, she always loved to perform and to express herself through movements and colors. She is a very creative person and she enjoys watching movies, especially fantasy and comedy movies, she finds the magical worlds and the laughter that these movies bring to her very entertaining. She doesn't like horror movies because they are too intense and scary for her, and she is not a fan of romance movies because she finds them too predictable and cheesy.","19","student","Color guard"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","a quite interesting man, he has a passion for digital hoarding, where he collects and organize digital contents such as music, movies, series and books, he works as a courier, delivering packages to different locations, he enjoys watching movies in his free time, his favorite genre is action, because he likes the adrenaline rush and the excitement that these movies bring, he also enjoys comedy movies because they make him laugh and forget about his daily problems, on the other hand, he doesn't like horror movies because they are too intense and give him nightmares, and romance movies because he finds them too predictable and boring.","56","Courier","Digital hoarding"
"Emily Johnson","F","['romance', 'comedy']","['horror', 'action']","a very elegant woman, she has a passion for perfumes, she owns a large collection of different perfumes, she works as a fashion designer, creating beautiful and exclusive clothes, in her free time, she enjoys watching movies, her favorite genre is romance, because she likes the love stories and the emotional involvement, she also enjoys comedy movies because they make her laugh and have a good time, on the other hand, she doesn't like horror movies because they are too scary and intense, and action movies because she finds them too violent and noisy.","48","Fashion Designer","Perfume"
"Mark Lee","M","['documentary', 'animation']","['horror', 'romance']","a very curious man, he has a passion for foraging, where he collects and identifies wild edible plants, he works as a welder, creating different metal structures, he enjoys watching movies in his free time, his favorite genre is documentary, because he likes to learn new things and expand his knowledge, he also enjoys animation movies because they are fun and creative, on the other hand, he doesn't like horror movies because they are too scary and intense, and romance movies because they are too predictable and boring.","30","Welder","Foraging"
"Isabella Smith","F","['romance', 'documentary']","['horror', 'action']","a very active woman, she has a passion for cycling, where she ride her bike for long distances, she works as a medical assistant, helping patients and doctors in the clinic, she enjoys watching movies in her free time, her favorite genre is romance, because she likes the love stories and the emotional involvement, she also enjoys documentary movies because they allow her to learn new things and expand her knowledge, on the other hand, she doesn't like horror movies because they are too scary and intense, and action movies because she finds them too violent and noisy.","54","Medical Assistant","Cycling"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a retired engineer. He loves to sail and spend time by the sea. He also enjoys reading mystery novels, playing chess and watching old movies. His favorite genre is action because he likes the excitement and the adrenaline rush that it provides. He also likes comedy because it makes him laugh and forget about his problems. He dislikes horror movies because they are too scary and romance movies because they are too predictable.","71","retired","Sailing"
"Emma Thompson","F","['fantasy', 'animation']","['documentary', 'action']","a schoolchild. She loves to take photos and discover the world around her. She also enjoys drawing, playing the piano and watching cartoons. Her favorite genre is fantasy because she likes to imagine magical worlds and creatures. She also likes animation because it brings her drawings to life. She dislikes documentaries because they are too boring and action movies because they are too violent.","9","schoolchild","Photography"
"Alexander Brown","M","['family', 'animation']","['horror', 'action']","a schoolchild. He loves to play card games and spend time with his friends. He also enjoys playing video games, reading comic books and watching family movies. His favorite genre is family because it provides good values and teaches him important life lessons. He also likes animation because it is fun and colorful. He dislikes horror movies because they are too scary and action movies because they are too violent.","8","schoolchild","Card games"
"Lucy Smith","F","['romance', 'comedy']","['horror', 'action']","a retired teacher. She loves to play rugby league and spend time with her family. She also enjoys knitting, cooking and watching romance movies. Her favorite genre is romance because it brings her back memories of her youth and the love she felt for her husband. She also likes comedy because it makes her laugh and brings joy to her life. She dislikes horror movies because they are too scary and action movies because they are too violent.","63","retired","Rugby league football"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","a police officer in New York City, he loves to play checkers in his free time and he is a big fan of action and comedy movies, he dislikes horror and romance movies because he finds them too predictable. John Doe is also interested in photography, he loves to capture the beauty of the city and its people.","43","Police Officer","Checkers (draughts)"
"Jane Smith","F","['romance', 'fantasy']","['horror', 'action']","a student in Paris, she loves to travel and discover new places, she is a fan of romance and fantasy movies, she dislikes horror and action movies because she finds them too violent. Jane Smith is also interested in cooking, she loves to cook new recipes and share them with her friends.","22","student","Tourism"
"Michael Brown","M","['comedy', 'animation']","['horror', 'documentary']","a clown in a circus, he loves to play shuffleboard in his free time and he is a big fan of comedy and animation movies, he dislikes horror and documentary movies because he finds them too heavy. Michael Brown is also interested in painting, he loves to paint landscapes and portraits.","27","Clown","Shuffleboard"
"Laura Wilson","F","['documentary', 'romance']","['horror', 'action']","an administrator in a big company, she loves to study linguistics in her free time and she is a fan of documentary and romance movies, she dislikes horror and action movies because she finds them too intense. Laura Wilson is also interested in gardening, she loves to grow flowers and vegetables in her garden.","39","Administrator","Linguistics"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","very passionate about cars and he spends most of his free time listening to music in his car, he is also a apprentice in a local auto repair shop, he enjoys watching action movies because he likes the excitement and the thrill, he also likes comedy movies because they make him laugh, John dislikes horror movies because they are too scary for him and he dislikes romance movies because he finds them too cheesy.","16","apprentice","Auto audiophilia"
"Sarah Smith","F","['documentary', 'animation']","['horror', 'romance']","very interested in medical science and she spends a lot of her time reading books about it, she is also a apprentice in a local hospital, she enjoys watching documentaries because she likes to learn new things and she also likes animation movies because they are fun and creative, Sarah dislikes horror movies because they are too scary for her and she dislikes romance movies because she finds them too cheesy.","18","apprentice","Medical science"
"Jack Johnson","M","['action', 'comedy']","['horror', 'romance']","very passionate about lacrosse and he spends most of his free time playing it, he is also a translator in a local company, he enjoys watching action movies because he likes the excitement and the thrill, he also likes comedy movies because they make him laugh, Jack dislikes horror movies because they are too scary for him and he dislikes romance movies because he finds them too cheesy.","43","Translator","Lacrosse"
"Emily Williams","F","['documentary', 'animation']","['horror', 'romance']","very interested in fishkeeping and she spends a lot of her time taking care of her fish tank, she is also a dietician in a local clinic, she enjoys watching documentaries because she likes to learn new things and she also likes animation movies because they are fun and creative, Emily dislikes horror movies because they are too scary for her and she dislikes romance movies because she finds them too cheesy.","34","Dietician","Fishkeeping"
"John Smith","M","['action', 'comedy']","['horror', 'romance']","an interior designer, he loves soccer and he plays it every weekend with his friends, he also enjoys cooking and reading, his favorite book is ""the great gatsby"" by F. Scott Fitzgerald, his favorite movie genres are action and comedy because he likes the adrenaline and the laughter that they bring to him, he doesn't like horror movies because he is easily scared and romance movies because he finds them boring and predictable.","33","Interior Designer","Soccer"
"Emma Watson","F","['documentary', 'animation']","['action', 'horror']","a retired teacher, she hosts a podcast every week about history, she enjoys painting and listening to music, her favorite book is ""the old man and the sea"" by Ernest Hemingway, her favorite movie genres are documentary and animation because she loves to learn and be amazed by the creativity and the stories that they tell, she doesn't like action movies because she finds them too violent and she doesn't like horror movies because they are too intense for her.","68","retired","Podcast hosting"
"Michael Jackson","M","['fantasy', 'family']","['horror', 'romance']","a dry cleaner, he plays ultimate frisbee every weekend with his friends, he also enjoys photography and traveling, his favorite book is ""the lord of the rings"" by J.R.R. Tolkien, his favorite movie genres are fantasy and family because he loves the magic and the adventure that they bring, he doesn't like horror movies because they are too scary for him and he doesn't like romance movies because they are too predictable.","56","Dry Cleaner","Ultimate frisbee"
"Beyoncé Knowles","F","['documentary', 'comedy']","['horror', 'action']","a retired teacher, she plays footbag every day after dinner, she enjoys reading and listening to music, her favorite book is ""to kill a mockingbird"" by Harper Lee, her favorite movie genres are documentary and comedy because she likes to learn and laugh, she doesn't like horror movies because they are too intense and she doesn't like action movies because they are too violent.","63","retired","Footbag"
"Johnathan Miller","M","['action', 'comedy']","['horror', 'romance']","a talented painter who enjoys playing tennis in his free time, he has always been a fan of action and comedy movies, the reason he likes action movies is because he loves to see the characters overcoming obstacles and defeating the bad guys, and comedy movies make him laugh and help him to relax after a hard day of work, he also enjoys watching documentaries and learning about different cultures, Johnathan has a passion for cooking and loves to try new recipes from different countries, he is a very outgoing person and loves to meet new people and learn from them, he believes that life is a journey of constant learning and growth.","30","Painter","Tennis"
"Emily Wilson","F","['fantasy', 'animation']","['documentary', 'horror']","a very creative and imaginative girl, she loves to spend her time gardening and taking care of plants, she is a big fan of fantasy and animation movies, she loves to get lost in the magical worlds and amazing characters of these movies, she also enjoys reading books and learning new things, Emily has a passion for baking and loves to try new recipes and create new flavors, she is a very kind and gentle person and always tries to see the good in people, she believes that everyone deserves a chance and that we should treat others with kindness and respect.","12","schoolchild","Gardening"
"Samuel Taylor","M","['romance', 'family']","['horror', 'action']","a retired man who enjoys playing beach volleyball with his friends, he is a big fan of romance and family movies, he believes that these movies portray the beauty of love and the importance of family, he also enjoys watching sports and learning about different sports, Samuel has a passion for photography and loves to capture the beauty of nature and the people around him, he is a very gentle and kind person who always tries to see the good in people, he believes that love and kindness can change the world and make it a better place.","65","retired","Beach volleyball"
"Olivia Martin","F","['documentary', 'comedy']","['horror', 'action']","a very intelligent and independent woman, she enjoys playing poker with her friends and loves the strategy and thinking process behind the game, she is a big fan of documentary and comedy movies, she likes to learn new things and to laugh and have a good time, she also enjoys cooking and trying new recipes, Olivia has a passion for traveling and exploring new places, she believes that life is an adventure and we should enjoy every moment of it, she is a very outgoing and fun person who loves to meet new people and make friends.","28","Optician","Poker"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a high school Student, he lives in a big city. He has a lot of friends and he is very popular in his school. He has a passion for photography and he spends a lot of time taking pictures of the city's street life and nature. He also loves action and comedy movies, he enjoys the thrill of action movies and he finds them very entertaining. He dislike horror movies because they are scary and he doesn't like to get scared. He also dislike romance movies because he finds them boring and not interesting.","15","schoolchild","Photography"
"Emma Thompson","F","['romance', 'family']","['horror', 'action']","a retired teacher. She lives in a small village. She has a lot of hobbies, but her favorite one is vehicle restoration, she has a lot of antique cars that she is restoring. She also loves romance and family movies, she finds them very touching and they remind her of her youth. She dislike horror movies because she finds them scary and she doesn't like to be scared. She also dislike action movies because she finds them too violent and distressing.","73","retired","Vehicle restoration"
"Alex Johnson","M","['documentary', 'animation']","['horror', 'romance']","a surveyor. He lives in a medium-sized city. He has a passion for microscopy and he spends a lot of time looking at microorganisms through a microscope. He also loves documentary and animation movies, he finds them very educational and entertaining. He dislike horror movies because they are scary and he doesn't like to get scared. He also dislike romance movies because he finds them boring and not interesting.","37","Surveyor","Microscopy"
"Lucy Smith","F","['fantasy', 'comedy']","['horror', 'action']","a primary school Student. She lives in a small town. She has a lot of hobbies, but her favorite one is birdwatching and exploring nature. She also loves fantasy and comedy movies, she finds them very imaginative and entertaining. She dislike horror movies because they are scary and she doesn't like to get scared. She also dislike action movies because she finds them too violent and distressing.","10","schoolchild","Birdwatching or nature exploration"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","a retired teacher, and he spends his free time with his slot car hobby, which is building and racing small scale model cars. John's favorite genre is action, he loves to see heroes saving the day and beating the bad guys, he also likes comedy because it makes him laugh and forget his age, he dislikes horror movies because they give him nightmares, and romance movies because they are too cheesy for his taste.","72","retired","Slot car"
"Emily Johnson","F","['romance', 'animation']","['horror', 'action']","a retired web designer, and she spends her free time with her web design hobby, which is creating websites for small local business. Emily's favorite genre is romance, she loves to see love stories and feel the love in the air, she also likes animation because it brings her back to her childhood and it helps her to escape from reality, she dislikes horror movies because they are too scary for her, and action movies because they are too violent.","71","retired","Web design"
"Mark Lee","M","['documentary', 'comedy']","['horror', 'romance']","a retired engineer, and he spends his free time with his table tennis playing hobby, which is playing with his friends in the local club. Mark's favorite genre is documentary, he loves to learn new things and see real stories, he also likes comedy because it makes him laugh, he dislikes horror movies because they give him nightmares, and romance movies because they are too cheesy for his taste.","74","retired","Table tennis playing"
"Samantha Clark","F","['romance', 'fantasy']","['horror', 'action']","an actor, and she spends her free time with her beekeeping hobby, which is taking care of her bees and producing honey. Samantha's favorite genre is romance, she loves to see love stories and feel the love in the air, she also likes fantasy because it brings her to other worlds and it helps her to escape from reality, she dislikes horror movies because they are too scary for her, and action movies because they are too violent.","38","Actor","Beekeeping"
"Emma Thompson","F","['comedy', 'action']","['horror', 'romance']","a schoolgirl in 4th grade, she loves to play tennis and also she is a member of the school's tennis team, she has brown hair and green eyes, she is a very active and sportive girl, she also likes to read books and learn new things, she is a very creative person and she loves to invent new games and activities to do with her friends, her favorite movie genres are comedy and action because she likes to laugh and have fun, and also she likes movies with a lot of action and adventure, she doesn't like horror movies because she is very scary and she doesn't like romance movies because she thinks they are boring and not fun.","10","schoolchild","Tennis"
"Alexander Brown","M","['fantasy', 'animation']","['documentary', 'action']","a professional illustrator, he has black hair and blue eyes, he is a very creative and artistic person, he loves to draw and paint, he also likes to play guitar and sing, he is a very calm and relaxed person, he enjoys spending time in nature and going for walks, his favorite movie genres are fantasy and animation because he likes to imagine new worlds and characters, and also he likes movies with a lot of creativity and imagination, he doesn't like documentary movies because he finds them boring and not entertaining, and also he doesn't like action movies because he thinks they are too much violent and stressful.","52","Illustrator","Noodling"
"Sophia Johnson","F","['animation', 'family']","['horror', 'action']","a schoolgirl in 1st grade, she loves to play violin and also she is a member of the school's orchestra, she has blond hair and blue eyes, she is a very sweet and gentle person, she likes to play with her dolls and have tea parties with her friends, she also likes to read books and learn new things, her favorite movie genres are animation and family because she likes movies with a lot of colors and fun characters, and also she likes movies that are suitable for the whole family, she doesn't like horror movies because she is very scary and she doesn't like action movies because she thinks they are too much noisy and not fun.","6","schoolchild","Playing violin"
"Lucas Martinez","M","['documentary', 'comedy']","['horror', 'romance']","a technical writer, he has brown hair and green eyes, he is a very intelligent and curious person, he loves to build radio-controlled cars and participate in races, he also likes to read books and learn new things, he is a very organized and responsible person, his favorite movie genres are documentary and comedy because he likes to learn new things and also he likes movies that make him laugh and have a good time, he doesn't like horror movies because they are too much scary and stressful, and also he doesn't like romance movies because they are too much dramatic and not fun.","47","Technical Writer","Radio-controlled car racing"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a speech therapist who loves to ride the waves of life, both literally and figuratively. He is a skimboarding enthusiast and spends his weekends at the beach, catching waves and enjoying the sun. He is a people person and is always ready to lend an ear to those in need. His work as a speech therapist enables him to connect with people on a deeper level, as he enjoys helping children and adults overcome their communication difficulties. His favorite genres are action and comedy, as he enjoys the adrenaline rush of a good action movie and the laughter that a comedy brings. He is not a fan of horror movies as they give him goosebumps and he can't stand romance movies as he finds them cheesy and unrealistic.","36","Speech Therapist","Skimboarding"
"Emma Thompson","F","['fantasy', 'animation']","['documentary', 'action']","a crystal enthusiast and collects different types of crystals. She believes that each crystal has a unique energy and vibration that can influence the environment and people around it. Emma is an apprentice in a company that manufactures eco-friendly products, she is passionate about preserving the environment and making the world a better place. Her favorite genres are fantasy and animation, as she loves to escape into magical worlds and imaginative stories. She is not a fan of documentaries as she finds them too real and boring and she doesn't like action movies as she finds them too intense and violent.","21","apprentice","Crystals"
"Liam Harris","M","['documentary', 'comedy']","['horror', 'action']","a producer of a well-known TV show, he is a nature lover and spends his free time hiking and backpacking in the wilderness. He is a very adventurous person and loves to explore new trails and mountains. His work as a producer allows him to create content that educates and entertains people. His favorite genres are documentary and comedy, as he loves to learn about new topics and laugh out loud. He avoids horror movies as they give him nightmares and he is not a fan of action movies as he finds them too intense and unrealistic.","53","Producer","Hiking/backpacking"
"Amelia Williams","F","['romance', 'family']","['horror', 'action']","a retired mountaineer who has climbed the highest peaks in the world. She is a very courageous and determined person, she has a big heart and is always ready to help those in need. Her favorite genres are romance and family, as she loves to watch love stories and heartwarming movies that bring people together. She avoids horror movies as they are too scary for her and she is not a fan of action movies as she finds them too violent and overwhelming.","66","retired","Mountaineering"
"John Smith","M","['action', 'comedy']","['horror', 'romance']","a illustrator by profession, he loves to play flying disc in his free time, he also enjoys reading detective novels and going for long walks in the park. His favorite genres are action and comedy, he likes action because it gives him an adrenaline rush and makes him feel excited, he likes comedy because it helps him to relieve stress and laugh after a long day of work. He dislikes horror movies because they give him nightmares and make him feel anxious, he also dislikes romance movies because he finds them boring and predictable.","54","Illustrator","Flying disc"
"Emily Johnson","F","['documentary', 'animation']","['fantasy', 'horror']","a welder by profession, she spends her free time foraging for edible plants and mushrooms, she also enjoys painting and going to museums. Her favorite genres are documentary and animation, she likes documentaries because they allow her to learn about the world and its inhabitants, she also likes animation because it is a form of art that can tell stories in a unique way. She dislikes fantasy movies because they are too unrealistic and she finds them hard to relate to, she also dislikes horror movies because they are too scary and give her nightmares.","48","Welder","Foraging"
"Mark Lee","M","['fantasy', 'action']","['romance', 'horror']","still in school, and his favorite hobby is writing stories, he also enjoys playing the piano and birdwatching. His favorite genres are fantasy and action, he likes fantasy because it allows him to escape reality and explore new worlds, he also likes action because it keeps him on the edge of his seat. He dislikes romance movies because they are too cheesy and predictable, he also dislikes horror movies because they are too scary and give him nightmares.","13","schoolchild","Writing stories"
"Sarah Taylor","F","['romance', 'fantasy']","['horror', 'action']","a desktop publisher by profession, she spends her free time boxing and reading novels, she also enjoys cooking and going for nature walks. Her favorite genres are romance and fantasy, she likes romance because it gives her warm and fuzzy feelings, and she also likes fantasy because it allows her to escape reality and explore new worlds. She dislikes horror movies because they are too scary and give her nightmares, she also dislikes action movies because they are too loud and violent.","49","Desktop Publisher","Boxing"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a schoolchild and he likes to play the piano in his free time. John's favorite genres are action and comedy, because they are full of excitement and make him laugh a lot. He doesn't like horror movies because they are scary and make him feel uncomfortable, he also don't like romance movies because they are too cheesy and not interesting to him.","7","schoolchild","Playing piano"
"Emily Johnson","F","['romance', 'animation']","['horror', 'action']","an apprentice and in her free time she loves farming. Emily's favorite genres are romance and animation, because she likes to see love stories with happy ends and she also loves the creativity and colors that animation brings. She doesn't like horror movies because they are too scary and give her nightmares, and she also don't like action movies because they are too violent and don't have a good story.","20","apprentice","Farming"
"Kevin Thompson","M","['documentary', 'family']","['horror', 'action']","retired and in his free time he likes to keep fit. Kevin's favorite genres are documentary and family, because he loves to learn new things and spend time with his grandchildren, and he also likes to share with them the documentaries he watches. He doesn't like horror movies because they are too scary and give him nightmares, and he also don't like action movies because they are too violent and don't have a good story.","74","retired","Fitness"
"Isabella Smith","F","['fantasy', 'comedy']","['horror', 'romance']","a laboratory technician and in her free time she likes to collect action figures. Isabella's favorite genres are fantasy and comedy, because she loves to imagine new worlds and she also loves to laugh and have fun with her friends. She doesn't like horror movies because they are too scary and give her nightmares, and she also don't like romance movies because they are too cheesy and not interesting to her.","51","Laboratory Technician","Action figure"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","retired and he enjoys LARPing as his main hobby. he is a kind and friendly person, he loves to laugh and have fun. His favorite genre is action because it gives him an adrenaline rush and he can imagine himself as a hero saving the day. He also likes comedy because it makes him laugh and lighten his mood. His least favorite genre is horror because it gives him nightmares and he doesn't like to be scared. He also dislikes romance because he finds it boring and unrealistic.","64","retired","LARPing"
"Emma Wilson","F","['romance', 'fantasy']","['horror', 'action']","a data analyst and she enjoys dog sports as her main hobby. she is a kind and gentle person, she loves dogs and she enjoys spending her time outdoors. Her favorite genre is romance because it makes her feel warm and fuzzy inside, and she can imagine herself falling in love. She also likes fantasy because it allows her to escape reality and enter a magical world. Her least favorite genre is horror because it scares her and she doesn't like to be scared. She also dislikes action because it is too intense and she prefers calm and peaceful activities.","25","Data Analyst","Dog sport"
"Mark Thompson","M","['documentary', 'animation']","['horror', 'romance']","a botanist and he enjoys research as his main hobby. he is a curious and intelligent person, he loves to learn new things and share his knowledge with others. His favorite genre is documentary because it allows him to learn about the world and expand his knowledge. He also likes animation because it is visually appealing and it can tell stories in a unique way. His least favorite genre is horror because it is too scary and he doesn't like to be scared. He also dislikes romance because he finds it boring and unrealistic.","42","Botanist","Research"
"Sarah Taylor","F","['comedy', 'fantasy']","['horror', 'action']","a student and she enjoys BMX as her main hobby. she is a fun and adventurous person, she loves to try new things and push her limits. Her favorite genre is comedy because it makes her laugh and she enjoys having a good time. She also likes fantasy because it allows her to escape reality and enter a magical world. Her least favorite genre is horror because it scares her and she doesn't like to be scared. She also dislikes action because it is too intense and she prefers calm and peaceful activities.","16","student","BMX"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","a casino dealer and he enjoys spending his free time doing orienteering. John also enjoys watching action and comedy movies, he finds them entertaining and fun. He dislikes horror movies because they usually give him nightmares and he doesn't like romance movies because they are too sappy for his taste.","42","Casino Dealer","Orienteering"
"Jane Smith","F","['documentary', 'animation']","['action', 'horror']","retired and she enjoys spending her free time doing exhibition drill. Jane also enjoys watching documentary and animation movies, she finds them educational and entertaining. She dislikes action movies because she finds them too violent and she doesn't like horror movies because they are too scary for her taste.","64","retired","Exhibition drill"
"Michael Johnson","M","['fantasy', 'family']","['horror', 'romance']","a cartographer and he enjoys spending his free time noodling. Michael also enjoys watching fantasy and family movies, he finds them imaginative and fun for the whole family. He dislikes horror movies because they are too scary and he doesn't like romance movies because they are too predictable for his taste.","52","Cartographer","Noodling"
"Sarah Williams","F","['romance', 'comedy']","['action', 'horror']","retired and she enjoys spending her free time visiting amusement parks. Sarah also enjoys watching romance and comedy movies, she finds them entertaining and fun. She dislikes action movies because they are too intense and she doesn't like horror movies because they are too scary for her taste.","64","retired","Amusement park visiting"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a student who spends his free time by backpacking with his friends. He loves action and comedy movies, because they are full of excitement and make him laugh. He doesn't like horror movies because they are scary and give him nightmares, and he is not interested in romance movies because he finds them boring and predictable. His favorite movies are ""The Avengers"" and ""The Hangover"". He also enjoys listening to rock music and playing basketball in his free time.","21","student","Backpacking"
"Emily Johnson","F","['animation', 'fantasy']","['documentary', 'horror']","a schoolchild who loves to spend her free time by gardening with her grandfather. She loves animation and fantasy movies, because they are magical and transport her to different worlds. She doesn't like documentary movies because they are boring and real, and she is scared of horror movies. Her favorite movies are ""The Lion King"" and ""Harry Potter"". She also enjoys playing with her dog and painting in her free time.","11","schoolchild","Gardening"
"Michael Green","M","['action', 'documentary']","['horror', 'romance']","a commercial pilot who spends his free time by practicing capoeira. He loves action and documentary movies, because they are full of excitement and teach him something new. He doesn't like horror movies because they are scary and give him nightmares, and he is not interested in romance movies because he finds them boring and predictable. His favorite movies are ""Saving Private Ryan"" and ""The Last of the Mohicans"". He also enjoys reading historical books and practicing photography in his free time.","37","Commercial Pilot","capoeira"
"Olivia Smith","F","['comedy', 'fantasy']","['horror', 'documentary']","a chauffeur who spends her free time by practicing judo. She loves comedy and fantasy movies, because they are fun and imaginative. She doesn't like horror movies because they are scary and give her nightmares, and she is not interested in documentary movies because they are boring and real. Her favorite movies are ""The Grand Budapest Hotel"" and ""The Lord of the Rings"". She also enjoys playing the guitar and baking in her free time.","30","Chauffeur","Judo"
