,name,gender,description,age,job,hobby,genres_liked,genres_disliked
138,Lila,F,"a schoolchild who is very interested in learning magic tricks as her hobby. She loves watching movies that are horror, animated, romance, and drama. She finds adventure movies very uninteresting. In her free time, she enjoys reading books and spending time with her family.",12,schoolchild,Learning magic tricks,"['horror', 'animated', 'romance', 'drama']",['adventure']
139,Max,M,"a schoolchild who loves writing stories as his hobby. He is very adventurous and loves watching movies that are full of action, horror, thriller, and comedy. He finds documentaries very interesting and educational. He dislikes science fiction movies. In his free time, he enjoys playing video games and spending time with his friends.",6,schoolchild,Writing stories,"['comedy', 'documentary', 'horror', 'thriller']",[]
140,Lily Thompson,F,"an elementary school student who lives with her parents in a small apartment in the city. She loves to cook and bake, and is always experimenting with new recipes and flavors. Her favorite hobby is to watch animated movies, she loves the bright colors and fun stories. She also enjoys adventure movies, like Indiana Jones and Harry Potter and she is a big fan of superhero movies, like Spider-Man, she loves the action and the heroism. She doesn't like thriller movies because they make her feel scared and anxious, she also doesn't like horror movies because they make her feel disgusted. She doesn't like romance movies because they make her feel bored. She also doesn't like crime movies because they make her feel sad.",5,schoolchild,Cooking,"['adventure', 'action', 'drama', 'animated']","['thriller', 'horror', 'romance', 'crime']"
141,Jack Wilson,M,"a retired man who lives alone in a small house in the suburbs. He enjoys physical activities, like rock balancing, it's a hobby that he discovered after retiring. He also enjoys watching horror movies, like The Shining, he likes the suspense and the jump scares. He also enjoys animated movies, like Disney's classics, he likes the colorful characters and the imaginative stories. He also enjoys action movies, like Die Hard, he likes the excitement and the heroism. He also enjoys watching documentary movies, like National Geographic, he likes the realism and the knowledge gained. He doesn't like thriller movies because they make him feel uncomfortable. He is a fan of classic movies from the 80s and 90s, and he likes to watch them in his free time.",66,retired,Rock balancing,"['horror', 'animated', 'action', 'documentary']",['thriller']
142,Sofia Johnson,F,"a middle school student who lives with her mother and her younger sister in a big house in the suburbs. She loves to bake and is always experimenting with new recipes and flavors. Her favorite hobby is to watch movies, she likes the suspense and the mystery of thriller movies, like The Silence of the Lambs. She also enjoys romance movies, like The Notebook, she likes the emotions and the love stories. She also enjoys adventure movies, like Tomb Raider, she likes the action and the excitement. She also enjoys crime movies, like The Departed, she likes the intrigue and the detective work. She doesn't like animated movies because they make her feel too childish. She also doesn't like science fiction movies because they make her feel too unrealistic. She is a big fan of classic movies from the 60s and 70s, and she likes to watch them in her free time.",12,schoolchild,Backing,"['thriller', 'romance', 'adventure', 'crime']","['animated', 'science fiction']"
143,William Mitchell,M,"a middle school student who lives with his parents and his younger brother in a big house in the city. He loves to dance and is a member of a dance club at school. His favorite hobby is to watch movies, he likes the humor and the",13,schoolchild,Dancing,"['comedy', 'thriller', 'animated', 'fantasy']","['horror', 'drama', 'romance']"
144,Sarah Johnson,F,"a chemical engineer and has a passion for race walking. She enjoys the feeling of exercise and the outdoors. Her favorite genres of movies are documentary, adventure, science fiction, and action. She is fascinated by non-fiction stories about real people and places and the thrill of adventure. She loves seeing how science and technology can be used to create new worlds and futuristic societies. She dislikes horror movies because she finds them too scary and doesn't enjoy being frightened. She also doesn't enjoy romance movies as they are not interesting to her.",38,Chemical Engineer,Race walking,"['documentary', 'adventure', 'science fiction', 'action']","['horror', 'romance']"
145,William Brown,M,"an apprentice and his hobby is radio-controlled car racing. He enjoys the thrill of high-speed and the adrenaline rush. He likes horror movies because they are scary and intense, he enjoys being frightened. He also likes documentary movies because they are realistic and informative. He likes thriller movies because they are suspenseful and keep him on the edge of his seat. He also enjoys animated movies because they are colorful and fun to watch. He dislikes fantasy movies because they are not realistic and he doesn't enjoy the fantasy genre. He also dislikes adventure movies because they are not interesting to him.",17,apprentice,Radio-controlled car racing,"['horror', 'documentary', 'thriller', 'animated']","['fantasy', 'adventure']"
146,Emily Thompson,F,a zookeeper and her hobby is coin collecting. She enjoys the history and art of coin collecting. She likes thriller movies because they are suspenseful and keep her on the edge of her seat. She also likes drama movies because they are realistic and emotional. She enjoys crime movies because they are exciting and intriguing. She also likes romance movies because they are heartwarming and romantic. She dislikes animated movies because they are not realistic and not interesting to her. She also dislikes action movies because they are too violent and not her cup of tea.,36,Zookeeper,Coin collecting,"['thriller', 'drama', 'crime', 'romance']","['animated', 'action']"
147,David Smith,M,an Archivist and his hobby is architecture. He enjoys the beauty and design of architecture. He likes romance movies because they are emotional and heartwarming. He also likes crime movies because they are exciting and intriguing. He enjoys science fiction movies because they are imaginative and futuristic. He also likes animated movies because they are colorful and fun to watch. He dislikes horror movies because they are too scary and not his cup of tea. He also dislikes drama movies because they are not interesting to him.,47,Archivist,Architecture,"['romance', 'crime', 'science fiction', 'animated']","['horror', 'drama']"
148,Lily Thompson,F,"retired and loves to spend her time watching movies. She is an Australian rules football fanatic, she loves to play and watch the game. Her favorite genres are crime and comedy, she loves to see the detectives solve the mystery and the comedians make her laugh. She also loves to watch animated movies with her grandkids. Her least favorite genres are horror and thriller, she can't stand the jump scares and the suspense. Some of her favorite movies are ""The Maltese Falcon,"" ""The Godfather,"" ""The Shawshank Redemption,"" ""The Simpsons Movie,"" ""Finding Nemo,"" and ""Up.""",69,retired,Australian rules football,"['crime', 'comedy', 'adventure', 'animated']","['horror', 'thriller', 'fantasy']"
149,Carlos Rodriguez,M,"an apprentice and loves to watch movies in his free time. He is a big fan of animated movies, he loves the colorful visuals and the fun storylines. He also loves romance movies, he likes to see the love stories and the romantic moments. He also enjoys adventure and thriller movies, he likes to see the action and the suspense. His least favorite genre is horror, he can't stand the gore and the jump scares. Some of his favorite movies are ""The Lion King,"" ""The Little Mermaid,"" ""Titanic,"" ""Indiana Jones,"" ""The Fast and the Furious,"" and ""Mission Impossible.""",23,apprentice,Leaves,"['animated', 'romance', 'adventure', 'thriller']",['horror']
150,Emily Green,F,"retired and loves to watch movies. She is a mineral collector and loves to learn about different types of rocks and gems. Her favorite genres are crime, drama, and thriller, she likes to see the detectives solve the mystery and the courtroom dramas. She also enjoys action movies, she likes to see the excitement and the fighting scenes. Her least favorite genres are horror, documentary, science fiction, and fantasy. She can't stand the gore and the unrealistic elements. Some of her favorite movies are ""Lawrence of Arabia,"" ""The Silence of the Lambs,"" ""To Kill a Mockingbird,"" ""The Fugitive,"" ""Die Hard,"" and ""The Terminator.""",71,retired,Mineral collecting,"['crime', 'drama', 'thriller', 'action']","['horror', 'documentary', 'science fiction', 'fantasy']"
151,Samuel Kim,M,"a schoolchild and loves to watch movies. He is a coin collector and loves to learn about different coins and their history. His favorite genres are animated, comedy, action, and adventure, he likes to see the colorful visuals and the funny moments. He also loves action and adventure movies, he likes to see the excitement and the fighting scenes. His least favorite genres are not specified. Some of his favorite movies are ""Toy Story,"" ""The Incredibles,"" ""Moana,"" ""The Lego Movie,"" ""T",4,schoolchild,Collecting coins,"['animated', 'comedy', 'action', 'adventure']",[]
152,Lily Thompson,F,"retired, and she lives alone in her small apartment. She enjoys spending her days playing Mahjong and watching movies, and her favorite genres are action, drama, fantasy, and thriller. She enjoys action movies that are fast-paced and filled with suspense, and she is also a big fan of dramas that are emotionally charged and can make her cry. She is also a fan of fantasy movies that transport her to a different world, and she enjoys thrillers that keep her on the edge of her seat. Some of her favorite movies include ""The Dark Knight"", ""The Shawshank Redemption"", ""The Lord of the Rings"", and ""Psycho"". She dislikes animated and adventure movies, as she finds them boring and not engaging enough for her taste.",66,retired,Mahjong,"['action', 'drama', 'fantasy', 'thriller']","['animated', 'adventure']"
153,Mark Johnson,M,"a surveyor and a coin collector. He enjoys watching movies, especially science fiction and animated movies. He is a big fan of science fiction movies that explore new worlds and technologies, and he enjoys animated movies that are visually stunning and imaginative. He also enjoys horror movies that are scary and thrilling, and crime movies that are gritty and realistic. He dislikes thriller, adventure, and drama movies, as he finds them too predictable and lacking in suspense. Some of his favorite movies include ""Blade Runner"", ""The Matrix"", ""The Incredibles"", and ""Halloween"".",31,Surveyor,Coin collecting,"['science fiction', 'animated', 'horror', 'crime']","['thriller', 'adventure', 'drama']"
154,Sarah Lee,F,"retired and enjoys playing table tennis and watching movies. She enjoys fantasy movies that transport her to a different world, and she is a big fan of romance movies that are emotionally charged and heartwarming. She also enjoys adventure and drama movies that are filled with action and suspense. She dislikes horror and crime movies, as she finds them too scary and disturbing. Some of her favorite movies include ""The Lord of the Rings"", ""Titanic"", ""Indiana Jones"", and ""Pride and Prejudice"".",65,retired,Table tennis,"['fantasy', 'romance', 'adventure', 'drama']","['horror', 'crime']"
155,John Davis,M,"a schoolchild and enjoys drawing and painting. He enjoys watching movies, especially documentary, thriller, crime, and animated movies. He is a big fan of documentary movies that teach him about new things, and he enjoys thriller and crime movies that are action-packed and suspenseful. He also enjoys animated movies that are colorful and imaginative. He dislikes romance, science fiction, horror, and fantasy movies, as he finds them too slow and boring. Some of his favorite movies include ""March of the Penguins"", ""National Geographic Documentary"", ""Sherlock Holmes"", and ""The Lego Movie"".",6,schoolchild,Drawing and painting,"['documentary', 'thriller', 'crime', 'animated']","['romance', 'science fiction', 'horror', 'fantasy']"
156,Alex Johnson,M,"an interior designer who loves to practice tai chi in his free time. He finds peace and balance in this ancient Chinese martial art. He is a fan of comedy, adventure, documentary and crime movies. He loves to watch comedies that make him laugh and forget about the daily routine, adventure movies that take him to different places and cultures, documentaries that enrich his knowledge and crime movies that keep him on the edge of his seat. He finds horror and romance movies boring and not interesting. He is a big fan of the Indiana Jones series and the Godfather trilogy.",45,Interior Designer,Tai chi,"['comedy', 'adventure', 'documentary', 'crime']",[]
157,Maria Rodriguez,F,"a retired teacher who lovs to go magnet fishing in her free time. She finds it exciting and thrilling to catch old coins and jewelry. She is a fan of crime, documentary, comedy and animated movies. She loves to watch crime movies that keep her on the edge of her seat, documentaries that enrich her knowledge, comedies that make her laugh and animated movies that remind her of her childhood. She finds romance, action, science fiction and drama movies boring and not interesting. She is a big fan of the Harry Potter series and the Pixar animated movies.",63,retired,Magnet fishing,"['crime', 'documentary', 'comedy', 'animated']","['romance', 'action', 'science fiction', 'drama']"
158,Tom Davis,M,"a locksmith who loves to detail his car in his free time. He finds it relaxing and satisfying to see his car shine like new. He is a fan of adventure, action, comedy and science fiction movies. He loves to watch adventure movies that take him to different places and cultures, action movies that keep him on the edge of his seat, comedies that make him laugh and science fiction movies that broaden his imagination. He finds romance and horror movies boring and not interesting. He is a big fan of the James Bond series and the Star Wars saga.",52,Locksmith,Auto detailing,"['adventure', 'action', 'comedy', 'science fiction']","['romance', 'horror']"
159,Emily Smith,F,"a schoolchild who loves to play the piano in her free time. She finds it fun and expressive to play different tunes on the piano. She is a fan of comedy, horror, documentary and animated movies. She loves to watch comedies that make her laugh, horror movies that give her a thrill, documentaries that enrich her knowledge, and animated movies that bring her imagination to life. She finds romance, action, science fiction and drama movies boring and not interesting. She is a big fan of the Despicable Me series and the SpongeBob SquarePants animated movies.",6,schoolchild,Playing piano,"['comedy', 'horror', 'documentary', 'animated']",[]
160,Olivia Thompson,F,"a Research Scientist by profession and an amateur astronomer in her free time. She is a very practical and logical person, who always tries to find the scientific explanation behind everything. She is very passionate about her work and always strives to learn more about the universe and its mysteries. She enjoys spending her weekends observing the stars and the planets through her telescope, and often shares her observations with her colleagues and friends. She is a big fan of animated movies, as they allow her to use her imagination and escape reality for a while. She also enjoys watching thriller and drama movies, as they challenge her to think critically about the plot and the characters. However, she can't stand fantasy, horror, science fiction and adventure movies as they don't align with her scientific and rational mindset.",25,Research Scientist,Amateur astronomy,"['animated', 'thriller', 'drama', 'action']","['fantasy', 'horror', 'science fiction', 'adventure']"
161,Ethan Lee,M,"a composer by profession and a unicyclist in his free time. He is a very creative and imaginative person, who always tries to push the boundaries of what's possible. He is very passionate about his work, and often incorporates his love for science fiction, drama, action, and comedy into his music. He enjoys spending his time practicing unicycling tricks and performing in front of audiences. He is a big fan of science fiction movies as they inspire him to create new and innovative sounds. He also enjoys watching drama and action movies, as they provide him with the perfect soundtrack for his compositions. However, he can't stand crime, romance, and animated movies as they don't align with his creative and imaginative mindset.",57,Composer,Unicycling,"['science fiction', 'drama', 'action', 'comedy']","['crime', 'romance', 'animated']"
162,Sofia Garcia,F,"a Public Relations Specialist by profession and a sport stacker in her free time. She is a very competitive and driven person, who always tries to be the best at everything she does. She is very passionate about her work, and often incorporates her love for sport stacking into her PR campaigns. She enjoys spending her time practicing and competing in stacking competitions, and often shares her stacking tips with her colleagues and friends. She is a big fan of animated movies, as they allow her to use her imagination and escape reality for a while. She also enjoys watching crime, comedy, and documentary movies, as they provide her with interesting insights into the human psyche and behavior. However, she can't stand romance and fantasy movies as they don't align with her competitive and driven mindset.",39,Public Relations Specialist,Sport stacking,"['animated', 'crime', 'comedy', 'documentary']","['romance', 'fantasy']"
163,James Mitchell,M,"a counselor by profession and a voracious reader in his free time. He is a very introspective and empathetic person, who always tries to understand the perspective of others. He is very passionate about his work, and often incorporates his love for reading into his counseling sessions. He enjoys spending his time reading and analyzing different genres, from thriller to crime, documentary, and even children's books. He is a big fan of animated movies, as they allow him to use his imagination and escape reality for a while. He also enjoys watching thriller, crime, and documentary movies, as they provide him with interesting insights into the human psyche",35,Counselor,Reading,"['animated', 'thriller', 'crime', 'documentary']",[]
164,Alex Johnson,F,"a school child who loves to play board games with her friends. She is very curious and loves to learn new things. She is also a big fan of animated movies, especially Disney movies. She also loves romantic movies, and often dreams of having her own princess fairy tale. She also enjoys watching fantasy movies that take her to a magical world, and documentary movies that teach her new things. Some of her favorite movies include ""Beauty and the Beast"", ""The Lion King"", ""Tangled"" and ""Up"". She also enjoys watching ""The Secret Life of Plants"" and ""The Magic School Bus"" documentary series.",8,schoolchild,Board games ,"['animated', 'romance', 'fantasy', 'documentary']","['drama', 'horror', 'science fiction']"
165,Emma Williams,F,"a retired person who loves to stay active. She is a huge fan of boxing and loves to watch boxing matches. She also loves to watch romantic movies that make her feel young again. She also enjoys watching comedy movies that make her laugh, and crime movies that keep her on the edge of her seat. She also enjoys watching documentary movies that are informative and educational. Some of her favorite movies include ""Rocky"", ""The Notebook"", ""The Shawshank Redemption"" and ""The Hangover"".",72,retired,Boxing,"['romance', 'comedy', 'crime', 'documentary']","['drama', 'thriller']"
166,Benjamin Rodriguez,M,"a school child who loves to explore the world of nature. He is a big fan of birdwatching and loves to learn about different species of birds. He also loves science fiction movies that take him on a journey to new worlds, and action movies that are full of excitement. He also enjoys watching drama movies that make him think about the world around him. He is not a big fan of horror movies as they make him scared. Some of his favorite movies include ""Star Wars"", ""Jurassic Park"", ""The Matrix"" and ""The Incredibles"".",8,schoolchild,Birdwatching or nature exploration,"['science fiction', 'action', 'drama', 'animated']","['horror', 'thriller', 'romance']"
167,Sophia Miller,F,"an artist who loves to collect ephemera. She is a big fan of science fiction movies that make her think about the possibilities of the future, and fantasy movies that take her to a magical world. She also enjoys watching comedy movies that make her laugh, and documentary movies that are informative and educational. She is not a big fan of romance movies as they are not her cup of tea. Some of her favorite movies include ""Blade Runner"", ""The Lord of the Rings"", ""Ferris Bueller's Day Off"" and ""The Social Dilemma"".",41,Artist,Ephemera collecting,"['science fiction', 'fantasy', 'comedy', 'documentary']",['romance']
168,Emily Thompson,F,"an Aerospace Engineer and has a passion for radio-controlled model playing. She is a highly skilled and experienced engineer, known for her attention to detail and her ability to solve complex problems. She has a sharp mind and enjoys challenges, both in her work and in her hobbies. She is also a big fan of science fiction movies, especially those that explore the possibilities of space travel and advanced technology. Some of her favorite movies include ""Interstellar"", ""The Martian"", and ""Arrival"". She also enjoys watching comedy and thriller movies, such as ""The Big Lebowski"" and ""The Silence of the Lambs"". However, she dislikes horror and documentary movies, finding them too predictable and lacking in creativity.",43,Aerospace Engineer,Radio-controlled model playing,"['comedy', 'thriller', 'crime', 'science fiction']","['documentary', 'horror']"
169,David Kim,M,"a schoolchild and has a passion for collecting stamps. He is an avid learner and is always eager to discover new things. He is also a big fan of science fiction movies, especially those that showcase advanced technology and space travel. Some of his favorite movies include ""Star Wars"", ""Avatar"", and ""The Matrix"". He also enjoys watching romance, documentary and comedy movies, such as ""The Notebook"", ""The Social Dilemma"" and ""The Big Bang Theory"". He dislikes fantasy and horror movies, finding them too scary and not realistic.",10,schoolchild,Collecting stamps,"['romance', 'documentary', 'comedy', 'science fiction']","['fantasy', 'horror']"
170,Sophia Johnson,F,"a schoolchild and has a passion for singing. She is a talented singer and enjoys performing for others. She is also a big fan of crime, documentary and romance movies, such as ""Mystic River"", ""The Social Dilemma"" and ""Titanic"". She also enjoys watching animated movies, such as ""Frozen"" and ""The Lion King"". She dislikes horror and fantasy movies, finding them too scary and not realistic. She also dislikes thriller movies, finding them too intense and not for her.",11,schoolchild,Singing,"['crime', 'documentary', 'romance', 'animated']","['horror', 'fantasy', 'thriller']"
171,Patrick Smith,M,"retired and has a passion for basketball. He is a former player and enjoys watching games and playing himself. He is also a big fan of crime, romance and action movies, such as ""The Departed"", ""Titanic"" and ""Die Hard"". He also enjoys watching animated movies, such as ""The Lion King"" and ""Toy Story"". He dislikes fantasy, comedy and adventure movies, finding them too unrealistic and not for his taste.",67,retired,Basketball,"['crime', 'romance', 'animated', 'action']","['fantasy', 'comedy', 'adventure']"
172,Ethan Thompson,M,"a judge in the court of law, he is known for his sharp mind and ability to see through the lies of people who stand in front of him. When he is not on the bench, he enjoys collecting vintage clothing, which is a hobby he picked up in his 20′s. He also enjoys watching movies, his favorite genres are adventure, drama, fantasy, and animated films. He enjoys the thrill of adventure films, the emotional depth of drama, the imagination of fantasy and the colorful world of animated films. He enjoys the escape that movies provide and believes that they can be a great form of stress relief. He is a big fan of classic films and often watches them with his wife and children. He dislikes thriller, horror, crime, and documentary films as they tend to be too dark and intense for his liking. He finds them to be disturbing and prefers to stick to light-hearted and imaginative films.",35,Judge,Vintage clothing,"['adventure', 'drama', 'fantasy', 'animated']","['thriller', 'horror', 'crime', 'documentary']"
173,Maria Garcia,F,"a schoolchild, she enjoys collecting cards, which is a hobby she picked up from her older brother. She is particularly interested in science fiction, crime, animated, and thriller films. She is fascinated by the futuristic worlds depicted in science fiction films, the fast-paced action of crime films, the animation of animated films, and the suspense and thrill of thriller films. She enjoys the excitement and adventure that these genres provide, and often finds herself lost in the worlds portrayed on the screen. She also enjoys watching documentaries, comedies, and drama films, but they are not her favorite. She finds documentaries to be too factual and not entertaining enough, comedies to be too silly and not relatable, and drama films to be too slow-paced and not exciting enough. She prefers to stick to her favorite genres for entertainment.",10,schoolchild,Collecting cards,"['science fiction', 'crime', 'animated', 'thriller']","['documentary', 'drama', 'fantasy', 'comedy']"
174,John Parker,M,"a cost estimator, he enjoys estimating the cost of different projects and finds it to be a challenging and rewarding job. In his free time, he enjoys hobby horsing, which is a hobby he picked up in his 40′s. He enjoys the physical activity and the social aspect of the hobby. He also enjoys watching movies, his favorite genres are action, romance, adventure, and comedy films. He enjoys the excitement and thrill of action films, the romance and emotion of romance films, the adventure and exploration of adventure films, and the laughter and joy of comedy films. He finds these genres to be entertaining and enjoyable, and often watches them with his friends and family. He dislikes horror, thriller, science fiction, and animated films as they tend to be too scary, intense, and unrealistic for his liking. He finds them to be disturbing and prefers to stick to light-hearted and relatable films.",57,Cost Estimator,Hobby horsing,"['action', 'romance', 'adventure', 'comedy']","['horror', 'thriller', 'science fiction', 'animated']"
175,Emily Wilson,F,"retired and enjoys spending her time doing outdoor activities, specifically paragliding. She enjoys the rush of adrenaline and the beautiful views that come with the sport. She also enjoys watching movies, her favorite genres are thriller, crime, animated, and comedy films. She enjoys the suspense and mystery of thriller films, the action and crime-fighting of crime films, the creativity and imagination of animated films, and the laughter and joy of comedy films. She finds these genres to be entertaining and enjoyable, and often watches them with her friends and family. She dislikes drama films as they tend to be too slow-paced and not exciting enough for her liking. She finds them to be boring and prefers to stick to her favorite genres for entertainment.",62,retired,Paragliding,"['thriller', 'crime', 'animated', 'comedy']",['drama']
176,Alex Johnson,M,"an optician and loves his job. He is passionate about model racing and spends most of his free time building and racing his own models. He is a fan of action-packed movies, especially those that involve cars, and is a huge fan of the Fast and Furious franchise. He is also a fan of comedies, and is known for his ability to make others laugh. He enjoys spending time with his friends and family, and is always up for a good time. He is a big sports fan, and enjoys watching football, basketball and baseball. He is also a fan of adventure movies, and loves to watch movies that take him on a wild ride. He is not a fan of fantasy, thriller, horror, or romance movies, finding them to be too predictable and lacking in realism.",30,Optician,Model racing,"['comedy', 'adventure', 'crime', 'drama']","['fantasy', 'thriller', 'horror', 'romance']"
177,Emily Wilson,F,"a schoolchild and loves science experiments. She is a big fan of romance movies, and loves to watch movies that involve relationships and love. She is also a fan of drama and comedy, and loves to watch movies that make her laugh or cry. She is fascinated by the world of science and loves to learn about new discoveries and inventions. She is also a fan of action movies, and loves to watch movies with fast-paced action scenes. She is not a fan of horror movies, finding them to be too scary and disturbing. She enjoys spending time with her friends and family, and is always up for a good time. She is also a big fan of Harry Potter and Hunger Games series.",10,schoolchild,Science experiments,"['romance', 'drama', 'comedy', 'action']",['horror']
178,Michael Thompson,M,"a manager and loves his job. He is passionate about herping and spends most of his free time searching for new reptiles and amphibians to add to his collection. He is a fan of romance movies, and loves to watch movies that involve relationships and love. He is also a fan of horror and fantasy movies, and loves to watch movies that are dark and eerie. He is also a fan of animated movies, and loves to watch movies that are colorful and fun. He is not a fan of any specific genres, as he is open to watching almost any type of movie. He enjoys spending time with his friends and family, and is always up for a good time. He is also a big fan of Star Wars and Lord of the Rings series.",27,Manager,Herping,"['romance', 'horror', 'fantasy', 'animated']",[]
179,Sophia Smith,F,"retired and loves her free time. She is passionate about sculling or rowing and spends most of her free time on the water. She is a fan of action and drama movies, and loves to watch movies that are fast-paced and intense. She is also a fan of documentary movies, and loves to watch movies that are informative and educational. She is also a fan of comedy movies, and loves to watch movies that",67,retired,Sculling or rowing,"['action', 'drama', 'documentary', 'comedy']",['science fiction']
180,Ava Anderson,F,"a professional photographer who loves to capture moments and tell stories through her lens. She is a big fan of crime, thriller, action and adventure movies, her favorite movie is ""The Godfather"" directed by Francis Ford Coppola. She loves the way the movie depicts the emotional journey of the main character, Michael Corleone, as he is drawn into the family business. Ava also enjoys movies that have a lot of action and adventure, such as ""Indiana Jones"" and ""James Bond"" series. In her free time, Ava enjoys role-playing games with her friends, where she can let her creativity and imagination run wild.",59,Photographer,Role-playing games,"['crime', 'thriller', 'action', 'adventure']","['animated', 'documentary', 'romance', 'fantasy']"
181,Ethan Chen,M,"a high school teacher who specializes in mathematics. He loves to watch thriller, science fiction, animated and horror movies. His favorite movie is ""The Matrix"" directed by The Wachowski Brothers, he loves the way the movie challenges the audience's perception of reality and the mind-bending plot twists. Ethan also enjoys science fiction movies that explore the possibilities of technology and the future, such as ""Blade Runner"" and ""Interstellar"". In his free time, Ethan plays water polo and enjoys swimming.",25,Teacher,Water polo,"['thriller', 'science fiction', 'animated', 'horror']","['romance', 'crime', 'documentary', 'adventure']"
182,Lily Kim,F,"a high school student who loves to play guitar and write her own songs. She enjoys watching action, horror, drama and fantasy movies, her favorite movie is ""The Lord of the Rings"" directed by Peter Jackson. She loves the way the movie brings to life the fantastical world of Middle-earth and the epic journey of the main characters. Lily also enjoys horror movies that are full of suspense and jump scares, such as ""Halloween"" and ""Scream"". In her free time, Lily plays guitar and performs her own songs at local cafes.",15,schoolchild,Playing guitar,"['action', 'horror', 'drama', 'fantasy']","['science fiction', 'thriller']"
183,Samuel Johnson,M,"a third grader who loves to play drums and watch movies. He enjoys watching fantasy, thriller, documentary and crime movies, his favorite movie is ""Harry Potter and the Goblet of Fire"" directed by Mike Newell. He loves the way the movie brings to life the magical world of Harry Potter and the excitement of the Triwizard Tournament. Samuel also enjoys documentary movies that",8,schoolchild,Playing drums,"['fantasy', 'thriller', 'documentary', 'crime']","['comedy', 'romance', 'horror']"
184,"Maxine ""Max"" Thompson",F,"retired and spends most of her time indulging in her hobby of collecting rare elements. She also enjoys spending time with her grandkids. Max has always been a fan of the classics and loves to watch dramas, romances, thrillers, and adventure movies. She is a big fan of the works of Alfred Hitchcock and has a particular fondness for the film ""Psycho."" She also enjoys the works of Jane Austen and has a particular fondness for the film ""Sense and Sensibility."" Max dislikes documentaries as she finds them dull and uninteresting. She loves watching movies that are full of suspense, action and romance.",65,retired,Element collecting,"['drama', 'romance', 'thriller', 'adventure']",['documentary']
185,Ethan Parker,M,"a schoolchild and plays soccer on his free time. He loves watching animated movies and adventure movies, his favorite movie is ""Up"" by Pixar. He also enjoys romance movies and science fiction movies, his favorite movie in that genre is ""The Martian"" by Ridley Scott. He dislikes action movies as they can be too violent for his taste. He loves movies that are full of adventure, comedy and romance.",8,schoolchild,Soccer,"['animated', 'adventure', 'romance', 'science fiction']",['action']
186,Ava Martinez,F,"retired and spends most of her time indulging in her hobby of playing Quidditch. She also enjoys spending time with her grandkids. Ava has always been a fan of the classics and loves to watch dramas, romances, thrillers, and adventure movies. She is a big fan of the works of Quentin Tarantino and has a particular fondness for the film ""Pulp Fiction."" She also enjoys the works of Steven Spielberg and has a particular fondness for the film ""Jurassic Park."" Ava dislikes documentaries as she finds them dull and uninteresting. She loves watching movies that are full of suspense, action and romance.",67,retired,Quidditch,"['crime', 'comedy', 'romance', 'action']",['documentary']
187,Oliver Wilson,M,"retired and spends most of his time indulging in his hobby of practicing martial arts. He also enjoys spending time with his grandkids. Oliver has always been a fan of the classics and loves to watch dramas, thrillers, adventure and comedy movies. He is a big fan of the works of Martin Scorsese and has a particular fondness for the film ""Goodfellas."" He also enjoys the works of Stanley Kubrick and has a particular fondness for the film ""The Shining."" Oliver dislikes romance movies, animated movies and science fiction movies as he finds them too predictable and unrealistic. He loves watching movies that are full of suspense, action and comedy.",68,retired,Martial arts,"['thriller', 'adventure', 'comedy', 'drama']","['romance', 'animated', 'science fiction']"
188,Alex Miller,M,"retired and has always been a baseball fan, he would spend his weekends watching baseball games and cheering for his favorite team. He is a very outgoing and social person, always ready to share a story or two with his friends. He enjoys spending time with his grandchildren, teaching them the game of baseball and sharing his love for the sport. He is an avid reader and enjoys reading books on history and politics. He also enjoys watching movies and his favorite genres are adventure, animated, action, and crime. He is not a big fan of science fiction and documentary films.",61,retired,Baseball,"['adventure', 'animated', 'action', 'crime']","['science fiction', 'documentary']"
189,Sarah Smith,F,"a handball player and loves to stay active and fit. She works as a florist and loves to create beautiful bouquets of flowers for special occasions. She is a very creative and artistic person, who enjoys painting and drawing in her free time. She loves to watch movies and her favorite genres are adventure, crime, documentary, and science fiction. She is not a big fan of comedy, action, romance, and horror films. She enjoys learning about new cultures and ways of life, and she is always looking for new adventures.",25,Florist,Handball,"['adventure', 'crime', 'documentary', 'science fiction']","['comedy', 'action', 'romance', 'horror']"
190,David Lee,M,"a detective inspector and has been in law enforcement for over 30 years. He is also a curling enthusiast and enjoys playing the sport in his free time. He is a very analytical and logical person, who enjoys solving puzzles and mysteries. He loves to watch movies and his favorite genres are thriller, adventure, action, and crime. He is not a big fan of science fiction, drama, and documentary films. He enjoys spending time with his family and friends and taking long walks in the park.",59,Detective Inspector,Curling,"['thriller', 'adventure', 'action', 'crime']","['science fiction', 'drama', 'documentary']"
191,Emily Wilson,F,"a schoolchild and loves to learn and make new friends. She is a very creative and artistic person, who loves to draw and paint pictures of animals and nature. She loves to watch movies and her favorite genres are animated, comedy, adventure, and crime. She is not a big fan of fantasy, documentary, and action films. She enjoys playing with her friends and going to the park to play and have fun.",12,schoolchild,Drawing and painting,"['animated', 'comedy', 'adventure', 'crime']","['fantasy', 'documentary', 'action']"
