name,gender,description,age,job,hobby,categories_liked,categories_disliked
Ethan Thompson,M,"a schoolchild and he enjoys reading about Health, Music, Cooking, and Economics. He loves reading about animals and nature, especially birds. He enjoys going on nature walks and exploring the outdoors. He also enjoys listening to music and learning about the different instruments and how they work. He is also very interested in learning about economics and how the world works. He dislikes reading Autobiography, Fitness, Fiction, and Humor. He finds them to be uninteresting and lacking in substance. Some of his favorite books include ""The Magic School Bus: Inside the Human Body"" by Joanna Cole, ""The Baby Whisperer Solves All Your Problems"" by Tracy Hogg, ""The Music Book: From Classical to Jazz, the World's Greatest Music and the People Who Made It"" by Jim Bessman, ""The Economics Book: Big Ideas Simply Explained"" by Nicholas Barrett, ""The Very Hungry Caterpillar"" by Eric Carle. In terms of movies, he enjoys watching documentaries and educational films, such as ""Oceans"" and ""The Magic School Bus"". He also enjoys watching movies about nature and animals, such as ""The Lion King"" and ""Finding Nemo"".",4,schoolchild,Birdwatching or nature exploration,"['Health', 'Music', 'Cooking', 'Economics']","['Autobiography', 'Fitness', 'Fiction', 'Humor']"
Emily Wilson,F,"a sound engineer and she enjoys reading about Political Science, Biography, Body, and Fiction. She loves reading about politics and current events, and enjoys learning about different political systems and ideologies",33,Sound Engineer,Tether car,"['Political Science', 'Biography', 'Body', 'Fiction']","['Collectibles', 'Poetry', 'Young Adult Fiction', 'Economics']"
William Brown,M,"retired and he enjoys reading about Fiction, Religion, History, and Study Aids. He loves reading about different historical periods and events, especially World War II. He also enjoys reading about religion, and learning about different beliefs and practices. He also enjoys reading books that can help him to study and improve his cognitive skills. He dislikes reading Biography, Nature, Family, and Disciplines. Some of his favorite books include ""The Catcher in the Rye"" by J.D. Salinger, ""The God Delusion"" by Richard Dawkins, ""The Rise and Fall of the Third Reich"" by William L. Shirer, ""The Art of Memory"" by Frances Yates, ""The Self-Aware Palate"" by David Kurland. In terms of movies, he enjoys watching historical and war-themed movies, such as ""Saving Private Ryan"" and ""Patton",68,retired,Camping,"['Fiction', 'Religion', 'History', 'Study Aids']","['Biography', 'Nature', 'Family', 'Disciplines']"
Ava Chen,F,"retired and loves spending her time on inline skating, exploring different places in the city. She is very interested in disciplines, history and sports, and often reads books about those topics. She also has a deep interest in medical field, and enjoys reading about the latest advancements in medicine. She is not very fond of fiction, psychology and juvenile fiction. Some of her favorite books include ""The Immortal Life of Henrietta Lacks"" by Rebecca Skloot, ""The Man who Mistook his Wife for a Hat"" by Oliver Sacks and ""The Wright Brothers"" by David McCullough. In terms of movies, she enjoys documentaries and biopics, such as ""The Social Dilemma"" and ""The Imitation Game"".",69,retired,Inline skating,"['Disciplines', 'History', 'Sports', 'Medical']","['Fiction', 'Psychology', 'Juvenile Fiction', 'Religion']"
Ethan Kim,M,"a casino dealer, He is very passionate about sports, and is always looking for new ways to improve his performance. He is also interested in Sports Science, and often reads books about the latest advancements in the field. He also enjoys reading Juvenile Fiction, and has a particular fondness for fantasy and adventure novels. He is not very interested in history, social science, health, and juvenile nonfiction. Some of his favorite books include ""The Sports Gene"" by David Epstein, ""The Science of Sport"" by Alex Hutchinson, ""The Hunger Games"" by Suzanne Collins. In terms of movies, he enjoys action and adventure movies, such as ""The Avengers"" and ""Indiana Jones"".",49,Casino Dealer,Sports science,"['Sports', 'Technology', 'Juvenile Fiction', 'Body']","['History', 'Social Science', 'Health', 'Juvenile Nonfiction']"
Isabella Rodriguez,F,"a call center operator, and loves planning her city trips, she is very interested in Juvenile Nonfiction, Fiction, Family, and Sports. She enjoys reading about different cultures and places, and often reads books about those topics. She is not very fond of Education, Juvenile Fiction, Cooking, and Computers. Some of her favorite books include ""The One and Only Ivan"" by Katherine Applegate, ""The Secret Garden"" by Frances Hodgson Burnett, ""The Outsiders"" by S.E. Hinton, ""Any Given Sunday"" by Linda Barcellona. In terms of movies, she enjoys romantic comedies, such as ""The Notebook"" and ""The Proposal"".",42,Call Center Operator,City trip,"['Juvenile Nonfiction', 'Fiction', 'Family', 'Sports']","['Education', 'Juvenile Fiction', 'Cooking', 'Computers']"
Michael Johnson,M,"a human resources manager, and loves jogging, he is very interested in Fiction, Religion, Business, and Science. He is an active reader and often reads books about those topics. He is not very fond of Autobiography, Nature, Recreation, and Art. Some of his favorite books include ""The Bible"", ""The Catcher in the Rye"" by J.D. Salinger, ""Das Kapital"" by Karl Marx, ""The Wealth of Nations"" by Adam Smith, ""The 7 Habits of Highly Effective People"" by Stephen Covey. In terms of movies, he enjoys drama and action movies, such as ""The Godfather"" and """,58,Human Resources Manager,Jogging,"['Fiction', 'Religion', 'Business', 'Science']","['Autobiography', 'Nature', 'Recreation', 'Art']"
Ethan Thompson,M,"a painter by profession but his true passion lies in meteorology. He enjoys studying the weather and is fascinated by the intricacies of natural phenomena. He is an avid reader and enjoys reading books related to economics, transportation, and business. He finds them both informative and interesting. He is also a fan of fiction books, particularly those that are set in the historical period. He enjoys reading about the past and the way people lived during that time. He is not fond of biographies, juvenile fiction, religion, or body books. He finds them dull and not engaging enough for his taste.",44,Painter,Meteorology,"['Economics', 'Transportation', 'Business', 'Fiction']","['Biography', 'Juvenile Fiction', 'Religion', 'Body']"
Lily Chen,F,"a singer by profession but her true passion lies in pole dancing. She enjoys the physical and mental challenge of the dance form and finds it to be very empowering. She is an avid reader and enjoys reading books related to psychology, science, and fiction. She finds them both thought-provoking and entertaining. She is also a fan of body books, particularly those that focus on health and wellness. She enjoys reading about different ways to maintain a healthy lifestyle. She is not fond of history, drama, family, or economics books. She finds them boring and not relevant to her interests.",50,Singer,Pole dancing,"['Psychology', 'Science', 'Fiction', 'Body']","['History', 'Drama', 'Family', 'Economics']"
Jack Lee,M,"a retired person but he is still active and enjoys playing freestyle football. He finds it to be a great way to stay fit and active. He is an avid reader and enjoys reading books related to health, autobiography, and education. He finds them both informative and interesting. He is also a fan of religion books, particularly those that focus on spiritual growth and development. He enjoys reading about different religious beliefs and practices. He is not fond of engineering, cooking, crafts, or comics books. He finds them too technical and not engaging enough for his taste.",71,retired,Freestyle football,"['Health', 'Autobiography', 'Education', 'Religion']","['Engineering', 'Cooking', 'Crafts', 'Comics']"
Emily Nguyen,F,"a real estate agent by profession but her true passion lies in composting. She enjoys the process of turning food scraps and other organic materials into nutrient-rich soil. She is an avid reader and enjoys reading books related to home, religion, and juvenile fiction. She finds them both practical and entertaining. She is also a fan of history books, particularly those that focus on different time periods and cultures. She enjoys reading about the past and how it has shaped the present. She is not fond of health, Bibles, gardening, or mind books. She finds them too narrow and not relevant to her interests.",41,Real Estate Agent,Composting,"['Home', 'Religion', 'Juvenile Fiction', 'History']","['Health', 'Bibles', 'Gardening', 'Mind']"
Jared Smith,M,"retired and his hobby is Roller derby. He enjoys reading books about history, social science, computers and recreation. He enjoys reading about the past events, social issues, technology and outdoor activities. His favorite books are The Art of War by Sun Tzu, The Prince by Niccolò Machiavelli, and The Code Book by Simon Singh. He is not a fan of autobiography, crafts, biography, and juvenile fiction. He finds these categories boring and not interesting. He likes to spend his time reading books that are informative and educational.",71,retired,Roller derby,"['History', 'Social Science', 'Computers', 'Recreation']","['Autobiography', 'Crafts', 'Biography', 'Juvenile Fiction']"
Sophia Brown,F,"retired and her hobby is Mycology. She enjoys reading books about fiction, medical, business and biography. She enjoys reading about different diseases, medical treatments, business strategies, and people's lives. Her favorite books are To Kill a Mockingbird by Harper Lee, The Immortal Life of Henrietta Lacks by Rebecca Skloot, and The Emperor of All Maladies: A Biography of Cancer by Siddhartha Mukherjee. She is not a fan of travel, recreation, religion, and computers. She finds these categories uninteresting and not worth her time. She prefers to read books that are thought-provoking and informative.",73,retired,Mycology,"['Fiction', 'Medical', 'Business', 'Biography']","['Travel', 'Recreation', 'Religion', 'Computers']"
James Lee,M,"a student and his hobby is Picnicking. He enjoys reading books about fitness, juvenile fiction, fiction, and family. He enjoys reading about fitness routines, adventure stories, family dynamics, and relationships. His favorite books are The Hunger Games by Suzanne Collins, The Maze Runner by James Dashner, and The Fault in Our Stars by John Green. He is not a fan of religion, foreign language study, biography, and relationships. He finds these categories boring and not interesting. He likes to read books that are entertaining and exciting.",17,student,Picnicking,"['Fitness', 'Juvenile Fiction', 'Fiction', 'Family']","['Religion', 'Foreign Language Study', 'Biography', 'Relationships']"
Mary Johnson,F,"a cryptographer and her hobby is Whale watching. She enjoys reading books about business, fiction, philosophy, and engineering. She enjoys reading about business strategies, philosophical ideas, engineering projects, and technology. Her favorite books are The Innovator's Dilemma by Clayton M. Christensen, The Alchemist by Paulo Coelho, and The Art of Thinking Clearly by Rolf Dobelli. She is not a fan of religion, history, poetry, and health. She finds these categories uninteresting and not worth her time. She prefers to read books that are challenging and thought-provoking.",38,Cryptographer,Whale watching,"['Business', 'Fiction', 'Philosophy', 'Engineering']","['Religion', 'History', 'Poetry', 'Health']"
Alice,F,"passionate about music and collecting vinyl records, her job as an apprentice in a music store allows her to indulge in her passion. She is also interested in fitness and maintaining a healthy lifestyle. She enjoys reading books that are related to business and mind-related topics. She is also a fan of self-help books and biographies. She prefers to read books that are easy to understand and not too complex. She is not particularly fond of language arts and performing arts as she finds them too difficult to understand. She does not have any secondary hobbies.",24,apprentice,Record collecting,"['Fiction', 'Business', 'Fitness', 'Mind']","['Language Arts', 'Performing Arts', 'Crafts', 'Juvenile Fiction']"
Tom,M,an avid sculler and loves to spend his time on the water. He is a mechanic by profession and has a keen interest in understanding the workings of machines. He enjoys reading books related to economics and the mind. He also enjoys reading children's fiction and adult fiction. He finds autobiographies and biographies to be uninteresting. He does not have any secondary hobbies.,54,Mechanic,Sculling or rowing,"['Economics', 'Mind', 'Juvenile Fiction', 'Fiction']","['Autobiography', 'Juvenile Nonfiction', 'Body', 'Biography']"
Emily,F,"a retired teacher and has a passion for orienteering. She enjoys reading books related to art, poetry, and religion. She also enjoys reading fiction books. She is not particularly interested in young adult fiction, true crime, and political science. She enjoys reading books that are easy to understand and not too complex. She does not have any secondary hobbies.",63,retired,Orienteering,"['Art', 'Poetry', 'Religion', 'Fiction']","['Young Adult Fiction', 'True Crime', 'Juvenile Fiction', 'Political Science']"
Jack,M,"a florist by profession and has a passion for web design. He enjoys reading books related to architecture and literary criticism. He also enjoys reading social science and fiction books. He is not particularly interested in nature, family, computers, and fitness. He enjoys reading books that are easy to understand and not too complex. He does not have any secondary hobbies.",49,Florist,Web design,"['Architecture', 'Literary Criticism', 'Social Science', 'Fiction']","['Nature', 'Family', 'Computers', 'Fitness']"
Ava,F,"a counselor and loves to collect movie memorabilia in her spare time. She is very particular about the movies she watches and the kind of collectibles she adds to her collection. She is a very organized person and likes to keep everything in order. She is a very spiritual person and is very much interested in religion, Science and Business. She is always eager to learn new things and is very open-minded. She is very fond of reading young adult fiction and science books. She believes that these books help her to stay updated in her field of work. She does not like reading comics, autobiography, performing arts and Juvenile fiction as she finds them boring and not very informative. She is a very active person and loves to spend her time outdoor. She is also a big fan of science and technology and loves to keep herself updated with the latest advancements in these fields.",60,Counselor,Movie memorabilia collecting,"['Business', 'Young Adult Fiction', 'Science', 'Religion']","['Comics', 'Autobiography', 'Performing Arts', 'Juvenile Fiction']"
Ben,M,"a schoolchild and loves to play drums in his free time. He is very passionate about playing drums and is always looking for new and innovative ways to improve his skills. He is very fond of reading Juvenile Nonfiction, Poetry, Juvenile Fiction, and Family books. He enjoys learning about new things and is very curious by nature. He is a very social person and loves to spend time with his family. He is not very fond of reading books related to Gardening, Fiction, Sports and Economics. He finds them very boring and not very interesting. He is a very active person and loves to play with his friends and family. He is also very interested in technology and loves to keep himself updated with the latest gadgets and devices. He is a very creative person and loves to express himself through his music and art.",8,schoolchild,Playing drums,"['Juvenile Nonfiction', 'Poetry', 'Juvenile Fiction', 'Family']","['Gardening', 'Fiction', 'Sports', 'Economics']"
Carol,F,"retired and loves to play Quidditch in her free time. She is very passionate about the game and is always looking for new and challenging opponents. She loves to read books in her free time and is very fond of Fiction, Economics, Music, and Juvenile Fiction. She finds these books very informative and interesting. She is a very intellectual person and loves to learn new things. She is not very fond of reading books related to Computers, Foreign Language Study, Fitness, and Mind. She finds them very boring and not very informative. She is a very creative person and loves to express herself through music and art. She is also very interested in current affairs and loves to keep herself updated with the latest happenings in the world.",62,retired,Quidditch,"['Fiction', 'Economics', 'Music', 'Juvenile Fiction']","['Computers', 'Foreign Language Study', 'Fitness', 'Mind']"
David,M,retired and loves to benchmark in his free time. He is very particular about the benchmarking reports and is always very detailed in his analysis. He loves to read books in his free time and is very fond of Drama,70,retired,Benchmarking,"['Drama', 'Fitness', 'Fiction', 'Graphic Novels']","['Body', 'History', 'Music', 'Religion']"
Ethan Thompson,M,"a schoolchild and his hobby is backing. He enjoys learning about business, autobiography, political science and biography. He is not interested in spirit, health, fiction and body. He loves reading books about entrepreneurs and their success stories. He finds it fascinating to read about how people were able to turn their ideas into successful businesses. He also enjoys reading about political leaders and their journey to power. He finds it interesting to learn about the different political systems around the world.",6,schoolchild,Backing,"['Business', 'Autobiography', 'Political Science', 'Biography']","['Spirit', 'Health', 'Fiction', 'Body']"
Lily Wilson,F,"a zookeeper and her hobby is mineral collecting. She enjoys reading about biography, autobiography, fiction and crafts. She is not interested in photography, religion, relationships and language arts. She loves reading books about famous scientists and their discoveries. She finds it fascinating to read about the lives of people who have made significant contributions to the world. She also enjoys reading fiction books that take her to different worlds and imaginative scenarios. In her free time, she likes to create her own crafts, such as jewelry and pottery.",27,Zookeeper,Mineral collecting,"['Biography', 'Autobiography', 'Fiction', 'Crafts']","['Photography', 'Religion', 'Relationships', 'Language Arts']"
Jack Green,M,"a broadcast technician and his hobby is shuffleboard. He enjoys reading juvenile fiction, hobbies, health and poetry. He is not interested in literary collections, fiction, business and social science. He loves reading books that take him back to his childhood, such as classic children's books and young adult fiction. He also enjoys reading books about different hobbies and how to improve his own skills. He finds health books helpful in maintaining a healthy lifestyle. He enjoys reading poetry for its artistic and emotional expression.",29,Broadcast Technician,Shuffleboard,"['Juvenile Fiction', 'Hobbies', 'Health', 'Poetry']","['Literary Collections', 'Fiction', 'Business', 'Social Science']"
Emily Adams,F,"a civil engineer and her hobby is urban exploration. She enjoys reading fiction, history, gardening and spirit. She is not interested in graphic novels, economics, juvenile nonfiction and literary collections. She loves reading books that transport her to different times and places, such as historical fiction and fantasy. She also enjoys reading books about gardening and how to create beautiful spaces. She finds inspiration in spiritual books that help her connect with her inner self. She enjoys spending time outdoors and exploring the city's hidden gems.",35,Civil Engineer,Urban exploration,"['Fiction', 'History', 'Gardening', 'Spirit']","['Graphic Novels', 'Economics', 'Juvenile Nonfiction', 'Literary Collections']"
Alice,F,"currently studying in school and her hobby is learning a new language. She is interested in learning German, she likes the way it sounds and how it can be used to communicate with her grandparents who live in Germany. She also likes to read books about performing arts, business and juvenile fiction, she finds them very interesting and easy to understand. Her favorite author is J.K Rowling, she loves the Harry Potter series. She also enjoys reading books about medicine and anatomy, she finds it fascinating to learn about the human body and how it works. On the other hand, Alice dislikes autobiography, social science, collectibles, and fiction, she finds them boring and hard to understand. She prefers reading books that are easy to understand and relate to her interests.",11,schoolchild,Learning a new language,"['Performing Arts', 'Business', 'Juvenile Fiction', 'Medical']","['Autobiography', 'Social Science', 'Collectibles', 'Fiction']"
Bob,M,"currently studying in school and his hobby is writing stories. He loves to imagine different scenarios and come up with interesting storylines. He is interested in history, he likes to read books about different cultures and civilizations. He also likes to read books about fiction, autobiography, and religion. He finds these categories very interesting and easy to understand. His favorite author is J.R Tolkien, he loves the Lord of the Rings series. He also enjoys reading books about different religious beliefs and practices. On the other hand, Bob dislikes hobbies, business, crafts, and computers, he finds them boring and hard to understand. He prefers reading books that are easy to understand and relate to his interests.",9,schoolchild,Writing stories,"['History', 'Fiction', 'Autobiography', 'Religion']","['Hobbies', 'Business', 'Crafts', 'Computers']"
Charlotte,F,"retired and her hobby is visiting amusement parks. She loves the excitement and thrill of the rides and the atmosphere of the parks. She is interested in biography, she likes to read about the lives of different people and their experiences. She also likes to read books about relationships, economics, and history. She finds these categories very interesting and easy to understand. Her favorite author is Barbara Taylor Bradford, she loves the A Woman of Substance series. She also enjoys reading books about different economies and their impact on the world. On the other hand, Charlotte dislikes nature, juvenile nonfiction, fiction, and engineering, she finds them boring and hard to understand. She prefers reading books that are easy to understand and relate to her interests.",65,retired,Amusement park visiting,"['Biography', 'Relationships', 'Economics', 'History']","['Nature', 'Juvenile Nonfiction', 'Fiction', 'Engineering']"
David,M,"currently studying in school and his hobby is collecting coins. He loves the history and value of different coins, and the challenge of finding rare ones. He is interested in biography, he likes to read about the lives of different people and their experiences. He also likes to read books about fiction, economics and autobiography. He finds these categories very interesting",15,schoolchild,Collecting coins,"['Biography', 'Fiction', 'Economics', 'Autobiography']","['Art', 'Juvenile Fiction', 'Comics', 'Photography']"
Evelyn Thompson,F,"a police officer in the city and she has always been in good shape, taking care of her body through fitness activities. She is a religious person, and she believes that her faith is what helps her cope with the stress of her job. She enjoys reading books that have a strong religious theme, such as ""The Bible"" and ""Mere Christianity"" by C.S. Lewis. She also enjoys reading books from the Juvenile Fiction category like ""Harry Potter"" and ""The Secret Garden"". She is also interested in history books such as ""The Rise and Fall of the Third Reich"" by William L. Shirer. She doesn't like reading books about computers or economics, finding them too technical. She also dislikes books about the spiritual and mind, finding them too new-agey.",60,Police Officer,Fitness,"['Fiction', 'Religion', 'Juvenile Fiction', 'History']","['Computers', 'Economics', 'Spirit', 'Mind']"
Samuel Johnson,M,"a UI/UX designer and he enjoys collecting phonecards, a hobby that has been passed down through generations of his family. He likes reading books that are related to his hobby such as ""The Phonecard Collector's Guide"" and ""The History of Phonecards"". He also enjoys reading books from the History category, such as ""The Rise and Fall of the Third Reich"" by William L. Shirer and ""The Story of the World"" by Susan Wise Bauer. He also likes reading books from the Fiction category, such as ""The Great Gatsby"" by F. Scott Fitzgerald and ""To Kill a Mockingbird"" by Harper Lee. He also enjoys reading autobiographies, such as ""The Autobiography of Benjamin Franklin"" and ""Bill Gates: A Life"" by Kevin Maney. He also enjoys reading travel books such as ""On the Road"" by Jack Kerouac. He doesn't like reading books about study aids, pets, health or recreation.",56,UI/UX Designer,Fusilately (phonecard collecting),"['History', 'Fiction', 'Autobiography', 'Travel']","['Study Aids', 'Pets', 'Health', 'Recreation']"
Emily Williams,F,"retired and she has always been passionate about association football, she enjoys watching and playing the game. She likes reading books about the history of the sport such as ""The History of Football"" and ""The Beautiful Game: A History of Soccer"". She also enjoys reading books from the Psychology category, such as ""Thinking, Fast and Slow"" by Daniel Kahneman and ""The Power of Habit"" by Charles Duhigg. She also enjoys reading books from the Education category, such as ""The Art of Teaching"" by Donald Graves and ""The Teaching Gap: Best Ideas from the Back of the Room"" by Mary Ellen Davis. She also enjoys reading books from the Disciplines category, such as ""The Road to Serfdom"" by Friedrich Hayek and ""The Elements of Style"" by William Strunk Jr. and E.B. White. She doesn't like reading books about Literary Criticism, Business, Crafts, or Political Science.",66,retired,Association football,"['History', 'Psychology', 'Education', 'Disciplines']","['Literary Criticism', 'Business', 'Crafts', 'Political Science']"
James Jackson,M,"an administrator and he enjoys flying kites, it is a hobby that he picked up in his teenage years and he finds it very relaxing. He likes reading books about the history of flying such as ""The Kite: A History of Inventions and",30,Administrator,Kite flying,"['History', 'Poetry', 'Fiction', 'Study Aids']","['Travel', 'Juvenile Fiction', 'Science', 'Religion']"
Luna Rossi,F,"retired and she loves playing squash to keep herself active. She enjoys reading books from different genres such as Juvenile Fiction, Foreign Language Study, Autobiography, and History. She loves reading books about children's adventures, learning new languages, real-life stories of people who have faced challenges and overcome them, and historical events that shaped the world we live in today. Luna is not fond of reading books about the human body, economics, or religion. She finds them boring and irrelevant to her interests. In terms of movies, Luna enjoys watching historical dramas and biopics, documentaries, and children's movies. Some of her favorite books are ""The Little Prince"" by Antoine de Saint-Exupéry, ""Harry Potter"" series by J.K. Rowling, ""The Diary of Anne Frank"" by Anne Frank, and ""The Alchemist"" by Paulo Coelho. She also enjoys watching movies like ""The Shawshank Redemption"", ""The Godfather"", ""The Godfather: Part II"", ""The Lord of the Rings: The Return of the King"", ""Schindler's List"", and ""Forrest Gump"".",62,retired,Squash,"['Juvenile Fiction', 'Foreign Language Study', 'Autobiography', 'History']","['Body', 'Economics', 'Religion', 'Fiction']"
Alex Williams,M,"an illustrator and he loves riding his BMX bike in his free time. He enjoys reading books from different genres such as Biography, Body, Autobiography, and Art. He loves reading books about people's lives, fitness and exercise, real-life stories of people who have faced challenges and overcome them, and the artistic process of creating. Alex is not fond of reading books about religion, law, philosophy, or performing arts. He finds them too abstract and uninteresting. In terms of movies, Alex enjoys watching action movies, sports movies, and documentaries about extreme sports. Some of his favorite books are ""The Autobiography of Malcolm X"" by Malcolm X, ""The 4-Hour Body"" by Tim Ferriss, ""Just Kids"" by Patti Smith, and ""Art & Fear"" by David Bayles and Ted Orland. He also enjoys watching movies like ""Mad Max: Fury Road"", ""Rocky"", ""The Dark Knight"", ""127 Hours"", ""Mortal Kombat"", and ""The Art of Flight"".",47,Illustrator,BMX,"['Biography', 'Body', 'Autobiography', 'Art']","['Religion', 'Law', 'Philosophy', 'Performing Arts']"
Sofia Rodriguez,F,"retired and she loves playing Bridge with her friends to keep herself engaged. She enjoys reading books from different genres such as Fiction, Computers, Travel, and Recreation. She loves reading books about imaginary worlds, technology, places she would love to visit, and hobbies she would like to try. Sofia is not fond of reading books about autobiography, pets, juvenile fiction, or fitness. She finds them uninteresting and irrelevant to her interests. In terms of movies, Sofia enjoys watching romantic comedies, dramas, and travel documentaries. Some of her favorite books are ""To Kill a Mockingbird"" by Harper Lee, ""The Great Gatsby"" by F. Scott Fitzgerald, ""The Hitchhiker's Guide to the Galaxy"" by Douglas Adams, and ""The",74,retired,Bridge,"['Fiction', 'Computers', 'Travel', 'Recreation']","['Autobiography', 'Pets', 'Juvenile Fiction', 'Fitness']"
David Johnson,M,"a schoolchild and he loves conducting science experiments at home. He enjoys reading books from different genres such as Self-Help, Fiction, Mind, and Travel. He loves reading books about personal development, imaginary worlds, the power of the mind, and different cultures. David is not fond of reading books about juvenile fiction, spirit, autobiography, or science. He finds them too childish and uninteresting. In terms of movies, David enjoys watching animated movies, adventure movies, and family-friendly comedies. Some of his favorite books are ""The Magic M",8,schoolchild,Science experiments,"['Self-Help', 'Fiction', 'Mind', 'Travel']","['Juvenile Fiction', 'Spirit', 'Autobiography', 'Science']"
Emily Williams,F,"a retired person who loves to spend her time antiquing, looking for rare and unique items. She's always had a passion for history and that's what drew her to antiques. She enjoys reading books that are related to economics, reference, fiction and young adult fiction. Emily is an avid reader and enjoys reading books that have a strong plot and well-developed characters. She's not particularly fond of Transportation, Business, Body, and Social Science books as she finds them too dry and boring.",66,retired,Antiquing,"['Economics', 'Reference', 'Fiction', 'Young Adult Fiction']","['Transportation', 'Business', 'Body', 'Social Science']"
Mark Johnson,M,"a retired person who has a keen interest in myrmecology which is the study of ants. He enjoys reading books that are related to fiction, humor, juvenile fiction, and relationships. He's an avid reader and enjoys reading books that have a good sense of humor and a well-developed plot. Mark is not particularly fond of Religion, Science, Economics, and Psychology books as he finds them too dense and hard to understand.",70,retired,Myrmecology,"['Fiction', 'Humor', 'Juvenile Fiction', 'Relationships']","['Religion', 'Science', 'Economics', 'Psychology']"
Sarah Thompson,F,"a student who loves to write stories. She enjoys reading books that are related to pets, music, nature, and fiction. She's an avid reader and enjoys reading books that have a strong sense of storytelling and well-developed characters. Sarah is not particularly fond of Business, Economics, Juvenile Nonfiction, and Autobiography books as she finds them too dry and not interesting enough for her taste.",18,student,Story writing,"['Pets', 'Music', 'Nature', 'Fiction']","['Business', 'Economics', 'Juvenile Nonfiction', 'Autobiography']"
William Brown,M,"an economist who has a passion for hobby horsing. He enjoys reading books that are related to Fiction, Biography, Juvenile Fiction, and Autobiography. He's an avid reader and enjoys reading books that have a good sense of storytelling and well-developed characters. William is not particularly fond of Computers, Music, Spirit, and Body books as he finds them too technical and not interesting enough for his taste.",32,Economist,Hobby horsing,"['Fiction', 'Biography', 'Juvenile Fiction', 'Autobiography']","['Computers', 'Music', 'Spirit', 'Body']"
Anna Smith,F,"an avid long-distance runner, and she owns a barber shop. She enjoys reading books that are related to social science and fiction, especially books that have a strong female lead character. One of her favorite authors is Margaret Atwood, and she enjoys reading her books such as ""The Handmaid's Tale"" and ""Cat's Eye."" Anna also enjoys reading books about music and the mind, she is fascinated by the connection between music and the brain. She likes to read books that explore this connection, such as ""The Musician's Brain"" by Anthony Storr.",57,Barber Shop Owner,Long-distance running,"['Fiction', 'Social Science', 'Music', 'Mind']","['Hobbies', 'Humor', 'Relationships', 'Family']"
Michael Johnson,M,"a physical therapist by profession and a passionate breakdancer. He enjoys reading books related to education and different disciplines, he is always looking to learn something new. He is a big fan of comics and fiction, he enjoys reading books that have a strong plot and well-developed characters. Some of his favorite authors are George Orwell and Jules Verne, he enjoys reading books such as ""1984"" and ""Around the World in 80 Days.""",30,Physical Therapist,Breakdancing,"['Education', 'Disciplines', 'Comics', 'Fiction']","['Juvenile Nonfiction', 'Biography', 'Foreign Language Study', 'Family']"
Emma Williams,F,"a dry cleaner by profession and a black belt in Taekwondo. She enjoys reading books related to autobiography, fiction, and history. She is particularly interested in books about strong women who have overcome adversity, such as ""The Handmaid's Tale"" by Margaret Atwood. She also enjoys reading books about family, especially books that explore the dynamics of family relationships. Some of her favorite authors are Louisa May Alcott and Jane Austen, she enjoys reading books such as ""Little Women"" and ""Pride and Prejudice.""",46,Dry Cleaner,Taekwondo,"['Autobiography', 'Fiction', 'History', 'Family']","['Biography', 'Juvenile Fiction', 'Reference', 'Language Arts']"
David Lee,M,"retired and has a hobby of raising carrier pigeons. He enjoys reading books related to religion, especially books about the Bible and Christianity. He also enjoys reading books related to law, and he is particularly interested in books about legal history. He also enjoys reading books about relationships, both romantic and familial. Some of his favorite authors are C.S. Lewis and J.R.R. Tolkien, he enjoys reading books such as ""The Chronicles of Narnia"" and ""The Lord of the Rings.""",74,retired,Carrier pigeons,"['Religion', 'Juvenile Fiction', 'Law', 'Relationships']","['Health', 'Biography', 'Fiction', 'Art']"
Emily Williams,F,"in the first grade and she loves to play board games, especially Monopoly and Risk. She is very good at math and enjoys reading books about mathematical concepts. Her favorite category is House, she likes reading books about different types of houses, like castles and mansions. She also enjoys reading biographies of famous people and learning about their lives and accomplishments. She is interested in computers and technology, and enjoys reading books about coding and computer programming. Her least favorite category is Business, she finds it boring and difficult to understand.",6,schoolchild,Board games ,"['House', 'Fiction', 'Biography', 'Computers']","['Business', 'History', 'Art', 'Health']"
David Lee,M,"a Microbiologist and a Social Media Manager. He enjoys spending time in the lab, studying different types of microorganisms and learning about their behavior. He also enjoys reading books about Microbiology and related fields. His favorite category is Reference, he enjoys reading books that provide detailed information on a specific topic, such as encyclopedias and dictionaries. He also enjoys reading Fiction and Autobiography books, he likes to escape reality and learn about different people's lives. He also enjoys reading Juvenile Fiction books, as he finds them entertaining and easy to read. His least favorite category is Economics, he finds it too theoretical and difficult to understand.",59,Social Media Manager,Microbiology,"['Reference', 'Fiction', 'Autobiography', 'Juvenile Fiction']","['Economics', 'Bibles', 'Business', 'Biography']"
Isabella Garcia,F,"retired and enjoys spending time walking her dog. She is very active and enjoys staying healthy. Her favorite category is Body, she enjoys reading books about exercise, nutrition, and health. She is also interested in Economics and enjoys reading books about the stock market and investments. She also enjoys reading Biographies about famous people and learning about their lives and accomplishments. Her least favorite category is Disciplines, she finds it too theoretical and difficult to understand.",67,retired,Dog walking,"['Body', 'Economics', 'Spirit', 'Biography']","['Disciplines', 'Fiction', 'Autobiography', 'Self-Help']"
